followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
198,36,7,0,0,689,29,image,88,Other,10,0
198,36,7,0,0,715,30,image,88,Other,4,4
198,36,9,1,0,1070,28,image,88,Other,10,3
198,36,16,2,0,801,30,image,88,Other,5,3
198,36,10,0,0,681,29,image,88,Other,5,1
198,36,7,1,0,605,?, video ,88,Other,13,2
198,36,12,2,0,921,28,image,88,Other,5,4
198,36,15,0,0,765,29,image,88,Other,4,1
198,36,15,1,0,1441,29,image,88,Other,4,3
12168,252,52,3,812,203,0,video,176,Unknown,15,0
12168,252,586,7,0,249,10,image,176,Unknown,19,1
12168,252,495,5,5244,183,6,video,176,Unknown,20,2
12168,252,607,19,0,209,6,image,176,Unknown,20,0
12168,252,362,3,3028,187,9,video,176,Unknown,18,6
12168,252,633,6,0,299,0,image,176,Unknown,20,5
12168,252,885,40,0,986,0,image,176,Unknown,19,1
12168,252,428,11,5133,125,9,video,176,Unknown,20,5
12168,252,483,29,0,97,7,image,176,Unknown,20,4
12168,252,95,2,1391,417,0,video,176,Unknown,21,3
12168,252,1115,13,0,151,9,image,176,Unknown,20,0
12168,252,697,24,0,465,10,image,176,Unknown,20,6
5731,690,461,14,0,1189,30,image,146,Digital creator,2,2
5731,690,230,12,0,1009,4,image,146,Digital creator,23,4
5731,690,249,18,0,1618,30,image,146,Digital creator,6,2
5731,690,169,20,0,1385,30,image,146,Digital creator,9,1
5731,690,343,41,0,1334,30,image,146,Digital creator,9,6
5731,690,214,38,0,1087,30,image,146,Digital creator,1,3
5731,690,300,28,0,1205,30,image,146,Digital creator,6,1
5731,690,165,44,0,?,30, video ,146,Digital creator,4,1
5731,690,440,63,0,1565,25,image,146,Digital creator,3,6
5731,690,108,4,0,169,6,image,146,Digital creator,5,2
5731,690,281,40,0,1158,28,image,146,Digital creator,3,1
5731,690,147,31,1116,939,30,video,146,Digital creator,2,6
1600,1031,76,0,0,3433,9,image,606,Unknown,11,4
1600,1031,86,0,0,2013,5,image,606,Unknown,12,3
1600,1031,84,0,0,1986,8,image,606,Unknown,14,1
1600,1031,111,0,0,1033,5,image,606,Unknown,14,0
1600,1031,97,1,0,2375,7,image,606,Unknown,11,4
1600,1031,107,1,0,1792,5,image,606,Unknown,9,3
1600,1031,86,0,0,855,5,image,606,Unknown,10,2
1600,1031,87,3,0,2608,5,image,606,Unknown,11,1
1600,1031,96,1,0,1538,6,image,606,Unknown,12,0
1600,1031,84,0,0,2914,7,image,606,Unknown,11,3
1600,1031,98,1,0,1730,12,image,606,Unknown,12,1
1600,1031,83,0,0,3058,14,image,606,Unknown,13,4
452,156,10,0,0,436,30,image,418,Software,20,6
452,156,92,1,0,418,30,image,418,Software,16,4
452,156,10,0,0,277,30,image,418,Software,13,2
452,156,140,2,0,277,30,image,418,Software,16,1
unknown,156,17,unknown,0,365,?,VIDEO,418,edu,2,1
452,156,13,0,0,365,30,image,418,Software,16,0
452,156,6,0,0,505,30,image,418,Software,3,0
452,156,12,2,0,394,30,image,418,Software,15,6
452,156,19,0,0,365,30,image,418,Software,17,5
452,156,21,0,0,321,30,image,418,Software,4,5
