followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
205,658,0,198,627,18,1.0,165,6,1,0.97,11.0,0.0,0.44072180278743317,0
205,658,4,26,761,23,1.0,165,5,1,0.13,1.13,0.01951219512195122,0.08620495676000298,0
205,658,2,13,680,18,1.0,165,5,4,0.06,0.72,0.00975609756097561,0.04127287522502057,0
205,658,5,32,757,20,1.0,165,5,2,0.16,1.6,0.024390243902439025,0.10490714637954882,0
205,658,3,19,614,19,1.0,165,5,0,0.09,1.0,0.014634146341463415,0.06110033775370244,0
205,658,3,19,463,19,1.0,165,6,6,0.09,1.0,0.014634146341463415,0.06110033775370244,0
205,658,3,19,718,20,1.0,165,11,4,0.09,0.95,0.014634146341463415,0.06110033775370244,0
205,658,4,26,681,21,1.0,165,5,3,0.13,1.24,0.01951219512195122,0.08620495676000298,0
205,658,3,19,542,27,1.0,165,4,6,0.09,0.7,0.014634146341463415,0.06110033775370244,0
205,658,2,13,644,21,1.0,165,5,1,0.06,0.62,0.00975609756097561,0.04127287522502057,0
205,658,1,6,766,18,1.0,165,4,2,0.03,0.33,0.004878048780487805,0.020916387834914375,0
1096,331,7,45,484,30,1.0,669,12,6,0.04,1.5,0.006386861313868613,0.027721756660572413,0
1096,331,25,326,858,30,1.0,669,7,1,0.3,10.87,0.02281021897810219,0.17843065635133887,0
1096,331,12,77,333,30,1.0,669,8,6,0.07,2.57,0.010948905109489052,0.04778941143772352,0
1096,331,24,153,330,30,1.0,669,7,6,0.14,5.1,0.021897810218978103,0.09274989443757546,0
1096,331,17,108,333,27,1.0,669,7,6,0.1,4.0,0.01551094890510949,0.06733877619146555,0
1096,331,26,166,330,30,1.0,669,7,6,0.15,5.53,0.023722627737226276,0.09905122904499142,0
1096,331,5,32,333,30,1.0,669,16,2,0.03,1.07,0.004562043795620438,0.02080630568215555,0
1096,331,12,77,433,29,1.0,669,16,2,0.07,2.66,0.010948905109489052,0.04778941143772352,0
1096,331,12,63,461,27,0.0,669,19,6,0.06,2.33,0.010948905109489052,0.04168608021032815,0
1096,331,13,83,372,30,1.0,669,14,3,0.08,2.77,0.011861313868613138,0.054151708683325576,0
1096,331,14,89,373,30,1.0,669,13,3,0.08,2.97,0.012773722627737226,0.05446716611793005,0
1096,331,11,80,487,26,0.0,669,9,1,0.07,3.08,0.010036496350364963,0.04747338432821624,0
34866,0,13,83,309,23,1.0,2585,11,6,0.0,3.61,0.0003728560775540641,0.00013047530440010694,0
34866,0,45,287,287,24,1.0,2585,6,6,0.01,11.96,0.0012906556530717604,0.006919153270118349,0
34866,0,53,338,284,24,1.0,2585,3,6,0.01,14.08,0.0015201055469511845,0.006999348029168897,0
34866,0,32,204,306,23,1.0,2585,23,5,0.01,8.87,0.0009177995755176963,0.0067887975838144005,0
34866,0,57,364,309,23,1.0,2585,18,5,0.01,15.83,0.0016348304938908966,0.00703943851917579,0
34866,0,96,613,287,24,1.0,2585,15,5,0.02,25.54,0.002753398726553089,0.013834073016305832,0
34866,0,65,415,324,23,1.0,2585,11,5,0.01,18.04,0.0018642803877703207,0.007119605725412842,0
34866,0,30,191,163,11,1.0,2585,7,5,0.01,17.36,0.0008604371020478403,0.006768738552946659,0
34866,0,71,453,332,23,1.0,2585,6,4,0.01,19.7,0.0020363678081798888,0.007179719082175947,0
34866,0,29,185,317,23,1.0,2585,3,4,0.01,8.04,0.0008317558653129122,0.006758708606391259,0
34866,0,71,453,275,24,1.0,2585,23,3,0.01,18.88,0.0020363678081798888,0.007179719082175947,0
34866,0,74,472,281,24,1.0,2585,18,3,0.01,19.67,0.0021224115183846727,0.007209771889269701,0
198,36,8,51,683,29,1.0,88,4,4,0.26,1.76,0.04040404040404041,0.16408581695946736,0
198,36,4,26,899,26,1.0,88,7,3,0.13,1.0,0.020202020202020204,0.08644169461809632,0
198,36,10,64,854,29,1.0,88,4,2,0.32,2.21,0.050505050505050504,0.19770549594125564,0
198,36,7,45,689,29,1.0,88,10,0,0.23,1.55,0.03535353535353535,0.1467192420551675,0
198,36,7,45,715,30,1.0,88,4,4,0.23,1.5,0.03535353535353535,0.1467192420551675,0
198,36,9,57,1070,28,1.0,88,10,3,0.29,2.04,0.045454545454545456,0.18107555884261933,0
198,36,16,102,801,30,1.0,88,5,3,0.52,3.4,0.08080808080808081,0.299359862172381,0
198,36,10,64,681,29,1.0,88,5,1,0.32,2.21,0.050505050505050504,0.19770549594125564,0
198,36,7,45,605,14,0.0,88,13,2,0.23,3.21,0.03535353535353535,0.1467192420551675,0
198,36,12,77,921,28,1.0,88,5,4,0.39,2.75,0.06060606060606061,0.23464161065071698,0
198,36,15,96,765,29,1.0,88,4,1,0.48,3.31,0.07575757575757576,0.2803861543096268,0
198,36,15,96,1441,29,1.0,88,4,3,0.48,3.31,0.07575757575757576,0.2803861543096268,0
12168,252,52,812,203,0,0.0,176,15,0,0.07,0.0,0.004273504273504274,0.045470661083239765,0
